"scope","lang","const","translation","pages"
"global","en","str_about_db","about the database",
"global","hu","str_about_db","az adatbázisról",
"global","ro","str_about_db","despre baza de date",
"global","ru","str_about_db","О базе данных",
"global","en","str_accepted_name","accepted name","metaname.php"
"global","hu","str_accepted_name","elfogadott név","metaname.php"
"global","ro","str_accepted_name","denumire acceptată","metaname.php"
"global","en","str_access","access","interface.php,project_admin.php"
"global","hu","str_access","hozzáférés","interface.php,project_admin.php"
"global","ro","str_access","acces","interface.php,project_admin.php"
"global","en","str_accuracy","Accuracy (GPS Satellites)","upload_dynamic_js.php"
"global","hu","str_accuracy","Pontosság (műholdak száma)","upload_dynamic_js.php"
"global","ro","str_accuracy","Accuracy (GPS Satellites)","upload_dynamic_js.php"
"global","en","str_actions","actions","interface.php,project_admin.php"
"global","hu","str_actions","műveletek","interface.php,project_admin.php"
"global","ro","str_actions","acțiuni","interface.php,project_admin.php"
"global","en","str_activate","activate","project_admin.php"
"global","hu","str_activate","aktivál","project_admin.php"
"global","ro","str_activate","activează","project_admin.php"
"global","en","str_active","active","profile.php"
"global","hu","str_active","aktív","profile.php"
"global","ro","str_active","activ","profile.php"
"global","en","str_activity","activity","mainpage_sidebar3.php,profile.php"
"global","hu","str_activity","aktivitás","mainpage_sidebar3.php,profile.php"
"global","ro","str_activity","activitate","mainpage_sidebar3.php,profile.php"
"global","ru","str_activity","деятельность","mainpage_sidebar3.php,profile.php"
"global","en","str_activity_area","activity area","profile.php"
"global","hu","str_activity_area","aktivitási terület","profile.php"
"global","ro","str_activity_area","arealul observațiilor încărcate","profile.php"
"global","en","str_add","add","common_pg_funcs.php,geomtest.php,project_admin.php"
"global","hu","str_add","hozzáad","common_pg_funcs.php,geomtest.php,project_admin.php"
"global","ro","str_add","adaugă","common_pg_funcs.php,geomtest.php,project_admin.php"
"global","en","str_add_features","Add feature","geomtest.php"
"global","hu","str_add_features","elem hozzáadása","geomtest.php"
"global","ro","str_add_features","adăugare element","geomtest.php"
"global","en","str_add_records_to","add records to",
"global","hu","str_add_records_to","adatfeltöltés:",
"global","ro","str_add_records_to","adaugă înregistrări la",
"global","en","str_add_translation","add translation","project_admin.php"
"global","hu","str_add_translation","fordítás hozzáadása","project_admin.php"
"global","ro","str_add_translation","adăugați traducerea","project_admin.php"
"global","en","str_admin","admin",
"global","hu","str_admin","gazda",
"global","ro","str_admin","administrator",
"global","en","str_administration","administration",
"global","hu","str_administration","adminisztráció",
"global","ro","str_administration","administrație",
"global","en","str_administrator","administrator",
"global","hu","str_administrator","intéző",
"global","ro","str_administrator","administrator",
"global","en","str_agree_and_continue","agree and continue","common_pg_funcs.php"
"global","hu","str_agree_and_continue","egyetértek és folytatom","common_pg_funcs.php"
"global","ro","str_agree_and_continue","acceptă și continuă","common_pg_funcs.php"
"global","en","str_agree_new_terms","To continue using OpenBioMaps, you will need to agree to the updated <a class=""termsText"" href="""" data-target=""privacy"">Privacy Policy</a>, and <a class=""termsText"" href="""" data-target=""terms"">Terms and Conditions</a>.","common_pg_funcs.php"
"global","hu","str_agree_new_terms","Az OpenBioMaps további használatához, egyet kell értsen a módosított <a class=""termsText"" href="""" data-target=""privacy"">Adatvédelmi Szabályzattal</a> és a <a class=""termsText"" href="""" data-target=""terms"">Felhasználói Szabályokkal</a>.","common_pg_funcs.php"
"global","ro","str_agree_new_terms","Pentru continuarea utilizării OpenBirdMaps, va trebui să acceptați  <a class=""termsText"" href="""" data-target=""privacy"">Politica de confidență</a> și <a class=""termsText"" href="""" data-target=""terms"">Termenii și condițiile de utilizare</a>.","common_pg_funcs.php"
"global","en","str_all_match","all names belonging to the selected species","project_admin.php"
"global","hu","str_all_match","összes névre ami a kiválasztott fajhoz tartozik","project_admin.php"
"global","ro","str_all_match","toate numele care aparțin speciei selectate","project_admin.php"
"global","en","str_all_names","load all names","afuncs.php"
"global","hu","str_all_names","összes név betöltése","afuncs.php"
"global","ro","str_all_names","încărcarea tuturor numelor","afuncs.php"
"global","en","str_already_activated_link","If you already activated your profile follow this link to check your profile page.","common_pg_funcs.php"
"global","hu","str_already_activated_link","Ha már aktiválta a fiókját, kövesse a következő linket a profil oldalára","common_pg_funcs.php"
"global","ro","str_already_activated_link","Dacă ați activat deja contul urmăriți acest link în vederea verificării paginii de profil","common_pg_funcs.php"
"global","en","str_alt_name","alternative name","common_pg_funcs.php,project_admin.php"
"global","hu","str_alt_name","nemzeti név","common_pg_funcs.php,project_admin.php"
"global","ro","str_alt_name","nume alternativ","common_pg_funcs.php,project_admin.php"
"global","en","str_alt_names","alternative names","project_admin.php"
"global","hu","str_alt_names","alternatív nevek","project_admin.php"
"global","ro","str_alt_names","denumiri alternative","project_admin.php"
"global","en","str_a_mandatory_field_is_empty","a mandatory field is empty","upload_funcs.php"
"global","hu","str_a_mandatory_field_is_empty","egy kötelező mező üres","upload_funcs.php"
"global","ro","str_a_mandatory_field_is_empty","un câmp obligatoriu","upload_funcs.php"
"global","en","str_any","any","project_admin.php"
"global","hu","str_any","bármi","project_admin.php"
"global","ro","str_any","orice","project_admin.php"
"global","en","str_api_params","field display options","project_admin.php"
"global","hu","str_api_params","mező megjelenítés opciók","project_admin.php"
"global","ro","str_api_params","field display options","project_admin.php"
"global","en","str_append","append",
"global","hu","str_append","hozzáfűz",
"global","ro","str_append","atașează",
"global","en","str_apply_text_query","apply recursive filters","interface.php"
"global","hu","str_apply_text_query","rekurzív szűrők alkalmazása","interface.php"
"global","ro","str_apply_text_query","filtrare recursivă","interface.php"
"global","en","str_arbitrary","arbitray","upload_show-table-form.php"
"global","hu","str_arbitrary","tetszőleges","upload_show-table-form.php"
"global","ro","str_arbitrary","arbitrar","upload_show-table-form.php"
"global","en","str_array","array","project_admin.php"
"global","hu","str_array","tömb","project_admin.php"
"global","ro","str_array",,"project_admin.php"
"global","en","str_as_compact_table","compact table","results_builder.php"
"global","hu","str_as_compact_table","kompakt táblázat","results_builder.php"
"global","ro","str_as_compact_table","tabel compact","results_builder.php"
"global","en","str_as_foldable_list","folds","results_builder.php"
"global","hu","str_as_foldable_list","kinyitható lista","results_builder.php"
"global","ro","str_as_foldable_list","listă expansibilă","results_builder.php"
"global","en","str_as_full_table","full table","results_builder.php"
"global","hu","str_as_full_table","teljes táblázat","results_builder.php"
"global","ro","str_as_full_table","tabel complet","results_builder.php"
"global","en","str_attachment","attachment","project_admin.php"
"global","hu","str_attachment","csatolmány","project_admin.php"
"global","ro","str_attachment","atașament","project_admin.php"
"global","en","str_authors","authors",
"global","hu","str_authors","szerzők",
"global","ro","str_authors","autorii",
"global","en","str_available_for","available for","interface.php"
"global","hu","str_available_for","elérhetőség","interface.php"
"global","ro","str_available_for","accesibil pentru","interface.php"
"global","en","str_avoid","avoid","interface.php,profile.php"
"global","hu","str_avoid","óvakodjál","interface.php,profile.php"
"global","ro","str_avoid","evită","interface.php,profile.php"
"global","en","str_ban","ban","project_admin.php"
"global","hu","str_ban","tilt","project_admin.php"
"global","ro","str_ban","interzice","project_admin.php"
"global","en","str_beta_text","This database is under development and is not yet accepted in OpenBioMaps. This is a temporary state!","interface.php"
"global","hu","str_beta_text","Ez az adatbázis fejlesztés alatt van, nincs még az OpenBioMaps rendszerbe befogadva. Ez egy ideiglenes állapot!","interface.php"
"global","ro","str_beta_text","Această bază de date este sub construcție sau nu este în forma finală. Nu este încă o bază de date acomodată în sistemul OpenBio Maps. Acesta este un stadiu temporar al bazei de date.","interface.php"
"global","en","str_biomds","Open Biotic Map and Database Services",
"global","hu","str_biomds","Nyitott biotikai térkép és adatbázis szolgáltatások",
"global","ro","str_biomds","servicii de hărți și baze de date biotice deschise",
"global","en","str_black","black",
"global","hu","str_black","fekete",
"global","ro","str_black","negru",
"global","en","str_blue","blue",
"global","hu","str_blue","kék",
"global","ro","str_blue","albastru",
"global","en","str_boolen","true/false","project_admin.php,upload_show-table-form.php"
"global","hu","str_boolen","igaz/hamis","project_admin.php,upload_show-table-form.php"
"global","ro","str_boolen","adevărat/fals","project_admin.php,upload_show-table-form.php"
"global","en","str_brown","brown",
"global","hu","str_brown","barna",
"global","ro","str_brown","maroniu",
"global","en","str_buffersize","clikk buffer size","profile.php"
"global","hu","str_buffersize","klikk buffer méret","profile.php"
"global","ro","str_buffersize","click mărime buffer","profile.php"
"global","en","str_cancel","cancel","project_admin.php,upload_show-table-form.php"
"global","hu","str_cancel","mégse","project_admin.php,upload_show-table-form.php"
"global","ro","str_cancel","renunțare","project_admin.php,upload_show-table-form.php"
"global","en","str_center_x","map center X","profile.php"
"global","hu","str_center_x","térkép középpont X","profile.php"
"global","ro","str_center_x","centru X","profile.php"
"global","en","str_center_y","map center Y","profile.php"
"global","hu","str_center_y","térkép középpont Y","profile.php"
"global","ro","str_center_y","centru Y","profile.php"
"global","en","str_changes","changes","interface.php"
"global","hu","str_changes","változások","interface.php"
"global","ro","str_changes","schimbări","interface.php"
"global","en","str_characters","characters",
"global","hu","str_characters","karakter",
"global","ro","str_characters","caractere",
